id,session_token,nickname,age,gender,municipality,has_children,has_elderly,has_pets,created_at
9ab8d088-2de1-4b56-8e16-8df09345f97f,6964723d-4f16-4b7e-9ddc-e94cbd2a6461,rostok,35,other,Espoo,false,false,true,2026-03-25 08:35:59.539981
9debcada-71d6-4e41-8868-f93d2193d542,bc64492a-a681-4b95-bb39-454c26888732,Em,28,female,Helsinki,false,false,false,2026-03-25 08:35:43.942547
acfebdb8-ab56-410d-a74b-0a8a67665f9f,43d9ad09-9552-48bf-93d4-c8c64b231533,George,27,male,Helsinki,false,false,false,2026-04-06 08:09:02.080557
b9b8fa5d-395a-418f-9517-73310287d647,d5948800-6e85-460e-9a47-933a47a62fcb,Saeedeh,33,female,Helsinki,false,false,false,2026-04-07 19:39:12.646375
bcc517af-165c-42bb-895d-2471c9a667f7,b7e72b26-5f41-451a-8854-1af42278e7af,Ati,43,female,Espoo,true,false,false,2026-03-25 13:13:03.749333
bdc82b9d-dafe-4899-bd58-79c80d4c409f,895e9da6-b1c3-4907-a614-d1c77f474dc2,J,27,other,Turku,false,false,false,2026-04-04 11:55:19.882297
bfea8305-d5f8-4d9f-b748-927d95065c54,c1bf4d98-b040-4e51-8b12-88758b9328ae,Anonymous,27,female,Helsinki,false,false,true,2026-04-07 12:09:07.401481
c38f2e63-2044-48b4-bf5d-a509d5c7769d,a85f3154-349d-4272-82fb-4b2abe048536,hehe,21,female,Heinävesi,false,false,false,2026-03-22 21:36:56.062407
c84f43fa-f6aa-4189-b404-48398f9ac48f,ba2506fc-4819-4a12-90ae-06566891a9a7,Farnaz,33,female,Helsinki,false,false,false,2026-04-07 13:14:51.103857
c8cd935f-933a-44c9-8fe1-5a4f5e5bbb1d,d9a171db-dd1b-44c0-83ff-c04e6e9d3351,Farshad,36,male,Helsinki,false,false,true,2026-04-07 14:22:02.93214
cafcf917-286b-4a7f-b424-cf95f42e2c54,4c54422d-7ab7-4891-a689-624c95e80ed6,Petsku,28,male,Turku,false,false,false,2026-04-07 12:23:43.085553
cff38e93-f36b-445c-87af-7631748f33db,4cf34210-d79e-45ff-8c43-d445152cde8f,K,64,other,Akaa,false,false,false,2026-04-07 14:37:57.854897
d09cc756-d2a5-417d-8984-db258856623e,b9bb4599-00e4-4e4d-8dd5-c456bf1246b5,Eevae,59,female,Raisio,false,false,false,2026-04-04 09:21:56.447553
d7973195-8350-42df-96ee-4defe3bd4dcd,bed54098-c045-4788-8c1e-5f729a47a81e,Lili,37,female,Helsinki,true,false,false,2026-03-28 21:28:05.65949
e6bd9a54-886d-48ae-8791-f10aa92df160,33ab3ce4-8a90-4362-88fc-72431354b02e,hihi,30,male,Alavieska,false,false,false,2026-03-23 00:16:29.007738
ec5d1898-8445-42b6-8012-819573a1d782,be4d3230-bc0e-4fce-a2e7-ad8529dadeb0,A,26,female,Alavus,false,false,false,2026-03-30 18:07:14.301425
eda5bcff-8301-4b7e-bc14-9595c05d3877,2dbcc049-80b9-4504-ac41-656d7a49fbb4,Asal,24,other,Espoo,false,false,false,2026-04-07 15:17:51.904114
ef7fd2f4-259b-40b2-8877-f5aaa88dbd6e,704c8469-93dd-4de4-8787-ca6c8b37c64d,V1,30,male,Vaasa,false,false,false,2026-04-07 12:45:42.34182
f237ff23-f7f9-4684-a273-8db0e9d76e33,032659f2-1396-4db8-ad53-05f05d93c216,Haha,28,female,Espoo,false,false,false,2026-03-22 21:28:53.78739
f4307af6-2df2-41c5-8c28-f02d67f66884,a332afdd-acfb-459d-bc45-81e660974891,Raz,35,female,Lahti,false,false,false,2026-03-25 05:32:17.105652
f732f357-9526-44fa-9987-ac8d181e2263,10789847-cbb7-4cbc-8475-636f4ccafe38,KL,37,female,Helsinki,true,false,false,2026-04-07 21:02:03.337634
fb106834-477d-4a56-ad4f-9f17bc37192e,ca7bc6fa-525d-4e05-ac17-0ec04eee5b52,Mari,37,female,Helsinki,false,false,false,2026-03-25 12:57:35.088708
fe223279-dfa3-4bb5-a316-18eaa49f0399,cdc88adc-82c9-43c4-9020-e3a8bda7c030,3w5,28,female,Akaa,false,false,false,2026-03-25 14:12:45.35049
